가드닝	생활 원예
카메오	깜짝출연, 깜짝출연자
카운슬러	상담자, 교도 교사
카운슬링	상담
카운터블로	받아치기
카운터파트	상대방
카운터펀치	받아치기, 반격, 역습
카이스트	한국과학기술원
카타르시스	정화
카피라이터	광고 작가, 광고 문안가
카피라이트	저작권
칼럼니스트	시사 평론가, 특별 기고가
캐노피	덮지붕
캐드	자동 설계, 자동 전산 설계
캐디	경기 보조원
캐리커처	풍자화
캐릭터 브랜드	개성 상표, 특성 상표
캐비테이션	공동 현상
캐셔	계산원, 수납원
캐스트	배역
캐스팅 디렉터	배역 감독
캐스팅 보트	결정권, 결정표
캐시 카드	현금 카드
캐시 카우	돈줄, 금고
캐시 플로	현금 흐름
캐처	포수
캐치	잡기, 공 잡기
캐치 업	따라 잡기
캐치프레이즈	구호, 선전 구호
캐포츠	활동 기능복
캐피털	벤처 투자사, 벤처 기업 자본, 벤처 투자 자본
캘리그래피	멋 글씨, 멋 글씨 예술
캠퍼스 리크루팅	교내 채용 설명회
캠퍼스 타운	대학촌, 대학 거점 도시
캠페스트	야영 축제
캡션	설명, 짧은 설명문
캡스톤 디자인	창의적 종합 설계
커넥션	결탁, 연계, 야합
커넥터	접속기
커넥티드	연결, 통신 연결
커넥티드 시티	통신 연결 도시
커넥티드 카	통신 연결 차량
커넥티비티	통신 연결성
커리어	경기 경력
커리어 우먼	전문직 여성
커리큘럼	교과 과정, 교육 과정
커머스	전자 상거래
커뮤니티 맵	참여형 지도 제작
커뮤니티 시어터	지역 연극
커뮤니티 케어	지역 사회 돌봄, 지역 사회 통합 돌봄, 더불어 돌봄, 공동체 돌봄
커미션	수수료, 구전
커버리지	범위, 맡은 범위, 대역, 수신 가능 지역
커버스토리	표지 기사
커스터마이즈	맞춤
커스터마이징	맞춤, 맞춤 제작, 맞춤 상품, 맞춤 디자인
커터기	자르개
커튼콜	부름갈채
커플러	연결기
컨버전	전환, 변환, 개조
컨버터	이중 변환기, 이중 역병렬 변환기
컨버팅	변환
컨베이어	운반, 운반기
컨베이어 벨트	자동 운반대
컨벤션	대회, 전시, 행사
컨벤션 뷰로	회의 사무국, 국제회의 전담 조직, 국제회의 사무국, 국제회의 지원 조직
컨벤션 효과	행사 효과
컨설턴트	상담사
컨설팅	결혼식 상담 업체, 결혼식 상담 회사
컨소시엄	협력체, 연합체, 협력 모임
컨트롤 보드	조정판
컨트롤 타워	지휘 본부, 사령탑, 통제탑
컨트롤러	조정기, 제어 장치
컨트리 리스크	국가별 위험도
컨트리클럽	골프장
컨트리풍	시골풍, 전원풍
컨티넨탈 챔피언십	대륙 간 선수권 대회
컨틴전시 플랜	비상 계획
컨플릭트	갈등, 이해 충돌, 이익 충돌
컬덕트	문화 융합 상품
컬러 매치	색 배합
컬러 푸드	색깔 먹거리, 색깔 식품
컬러 필터	색 필터, 착색 필터
컬러리스트	색채 전문가
컬렉션	수집품, 발표회, 의상 발표회
컬트	소수 취향
컴퓨팅	컴퓨터 연계 활용
컴프레서	압축기, 압착기, 강우기
컴필레이션	선집, 모음집
컵 홀더	컵걸이
컷오프	탈락, 공천 배제, 예비 경선
케미컬	화학, 화학 합성
케어 플랜	돌봄 계획, 복지 계획, 간호 복지 계획
케이스 스터디	사례 연구
케이크 커팅	자르기, 케이크 자르기
케이터링	출장 음식, 출장 연회
코덱스	국제 식품 규격, 국제식품규격위원회
코드 셰어	공동 운항
코드 인사	편향 인사, 성향 인사
코디네이션	① 조화, 배합 ② 의상 연출
코마	대칭복사
코멘테이터	해설자
코믹 터치	익살풍, 희극적 기법
코스메틱	화장품
코스튬 주얼리	패션 모조 보석
코스튬 플레이	의상 연출, 의상 연기
코스프레	① 행세 ② 분장 놀이
코워킹	협업, 공동 작업
코워킹 스페이스	협업 공간
코즈모폴리턴	세계주의자
코칭	맞춤 지도
코튼	면, 면직물, 목화, 솜
콘덴서	축전기, 축전지
콘솔	조종대
콘솔 박스	정리함
콘시어지	총괄 안내, 총괄 안내인
콘택트 포인트	연락처, 연락 창구
콘텍스트	맥락, 문맥
콘트라스트	대비
콘퍼런스	대규모 회의, 학술회의, 학술 대회
콘퍼런스 콜	화상, 통신 회의, 전화 회의
콜드 체인	저온 유통, 냉장 운반 보관
콤비 플레이	호흡 맞추기
콤비네이션	조합, 짝, 호흡 맞추기
콤팩트	압축, 간편
쿨다운	냉각
쿨링 포그	안개형 냉각, 안개형 냉각수, 안개 분사기
쿨링오프	계약 철회 보증, 계약 철회 보증 제도
쿼터	한도량, 배당량, 할당
쿼터 파이널	준준결승
쿼터제	할당제, 의무 할당제, 의무 배당제
큐레이션	추천, 정보 추천
큐레이션 서비스	추천 서비스, 정보 추천 서비스
큐레이터	전시 기획자, 학예사
큐비즘	입체파, 입체주의
크라우드 펀딩	대중 투자
크라우드소싱	대중 참여 제작, 대중 참여 생산
크라이시스	위기
크래시 헬멧	안전모
크래프트 맥주	수제 맥주
크랙	균열, 갈라짐
크랭크 인	촬영 시작, 촬영 개시
크레디트 라인	신용 한도
크레디트 카드	신용 카드
크레디트 타이틀	소개 자막, 영화 소개 자막
크레바스	빙하 균열, 빙하 틈, 공백, 틈
크로스 라이선스	특허 교환, 특허 교환권
크로스 핏	고강도 복합 운동
크로스오버	교차 융합, 융합, 넘나들기
크로스컨트리	지구력 경기, 산야 경기
크리에이터	지역 가치 창출가, 지역 가치 창업가, 지역 창업가
크리에이티브	창조적, 독창적
클라우드	자원 공유, 인터넷 기반 자원 공유
클라우드 서비스	인터넷 자원 공유 서비스, 인터넷 기반 자원 공유 서비스
클래시시즘	신고전주의
클래식 스타일	고전 양식, 고전적 양식
클랙슨	경음기, 경적
클러스터	생명 공학 협력 단지
클럽 하우스	골프장 본관
클레임	손해 배상 청구, 이의 제기
클로버	토끼풀
클로징	마무리, 맺음
클로징 멘트	맺음말
클리닝 타임	정리 시간
클리어런스 세일	재고 할인, 재고 할인 판매, 떨이 판매
클리핑	추림, 뽑아냄, 오려 모음
클린 디젤	저공해 디젤
클린 룸	청정실
클린 서포터스	청렴 홍보단
클린 에너지	청정 에너지
클린 이팅	자연식
클린 존	안전 지역, 청정 지역, 선도 지역, 선도 대상 지역, 모범 지역
클린도	청정도
키 맨	중추 인물, 핵심 인물
키 플레이어	핵심 인물, 핵심 인사, 핵심 선수
키네틱 아트	동작 예술, 동적 예술
키오스크	무인 안내기, 무인 단말기, 무인 주문기, 간이 판매대, 간이 매장
키트	구호 도구, 구호 도구 모음, 구호 도구 꾸러미, 구호 상자
키패드	자판, 숫자 판
킥오프 회의	첫 회의, 첫 기획 회의
킬러 콘텐츠	돌풍 콘텐츠, 핵심 콘텐츠
타깃 마케팅	주요 판촉, 중점 판촉
타깃 하드닝	방범 시설 강화
타운 웨어	외출복, 나들이옷
타운 홀 미팅	주민 회의, 구성원 회의, 주민 참여 공개 회의
타이 브레이크	동점 끝내기
타이트	빡빡한, 팽팽한
타이틀 매치	선수권전
타이틀리스트	선수권자, 타이틀 보유자
타이틀전	선수권전
타이프 문서	타자 문서
타이피스트	타자원
타임 레이스	기록 경기
타임 슬립	시간 여행
타임 오프제	근로 시간 면제 제도, 근무 시간 인정 제도
타임 테이블	시간표
타임래그	시차
타투	문신
타투이스트	문신사
태그	생명 팔찌
태스크	작업
태스크 포스	전담반, 전담 조직, 특별 전담 조직, 특별팀, 전담팀
탱크로리	용기 적재차
터닝 포인트	전환점
터치라인	옆줄
터치라인 아웃	옆줄 나감, 옆줄 밖나감
터치스크린 패널	접촉 화면 판
턴 오버	① 총매출 ② 회전율 ③ 실책
턴키	일괄, 한목, 일괄 발주
테넌트	핵심 점포
테니스 엘보	팔꿈치 통증
테니스 웨어	테니스복
테라피	향기 요법
테마 브리핑	주제 보고
테마주	화제주
테스터	체험 평가자
테스트 마켓	시험 시장
테스트 베드	가늠터, 시험대, 성능 시험장
테스트 스크리닝	미리 보기
테스트 이벤트	시험 경기, 시험 행사
테이블 매너	식사 예절
테이저건	전기 충격총
테이크 오프	이륙
테이퍼링	양적 완화 축소
테이프 커팅	줄 자르기, 색줄 자르기
테크	국제 금융 기술
테크노폴리스	첨단 산업 연구 도시
테크놀로지	과학 기술
테크니션	기교파, 기술자
테크핀	금융 기술, 기술 기반 금융
테트라포드	네발 방파석, 파도막이 돌
텍스처	질감, 재질감
텍스타일	직물, 섬유, 실
텍스트	연결 문서
텔레마케팅	전화 판매, 통신 판매
텔레매틱스	원격 서비스, 차량 무선 인터넷 서비스, 차량 내 무선 인터넷
템플 스테이	절 체험, 사찰 체험
토털 서비스	종합 서비스
토털 솔루션	종합 해결책
토털 시스템	종합 체계
토털 패션	종합 패션, 모듬 맵시
톱 브랜드	유명 상표
톱기사	머리기사
톱다운	하향식
투 톱	두 주공격수, 쌍두, 2인, 두 사령탑
투 트랙	양면, 두 갈래, 이원화
투어 코스	여행길, 관광 코스
투어 콘서트	순회 공연
투어리즘	친환경 관광
투웨이	이원적
툴바	도구 막대
툴키트	연장 모음, 도구 모음
튜닝 차	개조 차
튜터리얼	지침, 지침서
튜토리얼 세션	특강 시간, 분야별 발표
트라이아웃	실력 점검, 공개 선발 시험
트래디셔널 룩	전통풍
트래블러	여행자
트래이딩 플로어	거래장, 매매장
트래킹	도보 여행, 걷기
트래픽	소통량, 교통, 통화량
트래핑	사다리 놓기, 공 다루기
트랙	구경거리, 명소, 놀이 기구
트랙 레코드	기록, 실적, 경력
트랜스	변압기
트랜스미디어	매체 융합
트램	전차, 노면 전차
트랩	위장 폭탄
트레이	단타 매매, 초단타 매매
트레이 페이퍼	쟁반 종이, 쟁반 깔지
트레이드	지역형 공정 무역
트레이드 머니	이적료
트레일	예고편
트렌드 컬러	유행색, 경향색, 패션 경향색
트렌드세터	유행 선도자
트로이카	삼두마차, 삼두 체제, 삼인방
트로피컬 룩	열대풍
트리 포트	화분
트리거	방아쇠
트리거 광고	유인 광고
트리밍	바로 재생, 실시간 재생
트릭 아트	착시 예술, 착시 그림, 눈속임 예술, 눈속임 그림
티 테이블	차 탁자
티저 포스터	예고 포스터
티처 보이	교사 의존 학생
티핑 포인트	급변점
틴에이저	청소년, 십대
틸팅 열차	준고속 열차
팀 닥터	전담 의사, 팀 전담 의사, 전속 의사, 팀 전속 의사, 팀 주치의
팀 빌딩	팀 단합, 조직 강화
팀 컬러	팀 색깔, 팀 특징, 팀 성향
파노라마 선루프	전면 지붕창
파라미터	매개 변수
파밍	인터넷 금융 사기
파빌리온	전시관, 가설 건물
파우더 룸	화장방
파우치	외교 행낭
파운드리	조립, 조립 생산, 위탁 생산
파워 게임	권력 다툼, 세력 다툼
파이널 게임	마지막 경기
파이어니어	개척자, 선구자
파이프라인	① 개발 진행 제품 ② 촉매제, 연결관
파이핑 현상	누수, 누수 현상
파인 플레이	멋진 경기, 깨끗한 경기
파일 박스	서류함
파일럿 프로그램	맛보기 프로그램, 시험 프로그램
파트너사	협력사
파트너십 이니셔티브	친선 발의권, 협력 구상
파티 웨어	연회복, 파티복
파티션	칸막이, 가르개, 가르기
판타지 동화	환상 동화
팔레트	갤판, 운반대, 운반함
팔로어	딸림벗
팜 스쿨	농어촌 체험 학교
팝업	알림 창
팝업 북	입체책
팝업 스토어	반짝 매장
팡파르	개막, 개막곡, 축하곡
패널	접촉 화면 판
패닉 룸	피신처
패들링	노질, 노 젓기
패러다임	사고 틀, 구도, 체계
패러독스	역설
패러디	따라 하기, 모방 풍자
패러슈트	낙하산
패밀리 브랜드	통합 상표
패밀리 사이트	관련 누리집
패브릭	직물, 천
패션 디렉터	패션 분석가
패션 비즈니스	패션 사업
패션 사이클	패션 주기, 유행 주기
패션 어드바이저	패션 조언자
패션 컨설턴트	패션 상담사
패션 테마	패션 주제
패스 미스	잘못 주기, 잘못 주다
패스트 트랙	신속 처리제, 신속 처리 안건
패스트 힐링	자투리 휴식
패시브 하우스	초단열 주택, 에너지 절감 주택
패싱	배제, 생략, 따돌림
패치	가죽 조각
패치워크	조각천, 조각천 기법
패키지 디자인	묶음 디자인, 꾸러미 디자인
패키지 딜	일괄 신고, 일괄 타결
패턴 메이커	옷본 제작자
패턴 북	옷본 책, 옷본 서적
패트롤	안전 요원, 순찰
패트롤 카	순찰차
팩션	각색 실화
팩토리	실습장
팬덤	열성 팬, 열성 조직
팬시점	선물 가게
팬터마임	무언극
팰릿	운반대, 운반함
팸 투어	사전 답사 여행, 홍보 여행, 초청 홍보 여행
팸플릿	소책자, 작은 책자
팹리스	반도체 설계 업체, 반도체 설계 전문 기업
퍼내티시즘	열광주의, 광신주의
퍼블리셔	배급사, 게임 배급사
퍼블리시티	광고, 대중성
퍼블리싱	출판, 배급
퍼블릭	일반의, 공공의
퍼블릭 아트	공공 예술
퍼블릭 코스	대중 골프장
퍼센티지	백분율
퍼스낼리티	개성
퍼스널 모빌리티	1인 전동차
퍼스널 컴퓨터	개인용 컴퓨터
퍼스널 트레이닝	맞춤 운동, 일대일 맞춤 운동
퍼스널 파울	접촉 반칙
퍼스트 무버	선도자
퍼실리테이터	조력자, 촉진자, 도우미
펀더멘털	기반, 기초, 기초 여건, 경제 기초 여건, 주요 거시 경제 지표
펀드	국외 증권 포함 기금
펀딩	대중 투자
페넌트 레이스	정규 경기
페널티 에어리어	벌칙 구역
페달링	발판 밟기
페도라	중절모, 중절모자
페디큐어	발톱 화장
페미니스트	여성주의자
페미니즘	여성주의
페스트	야영 축제
페시미스트	비관주의자, 염세주의자
페어	지역형 공정 무역
페이백	환급, 보상 환급
페이소스	정한, 애상, 애수
페이스 메이킹	속도 조절
페이스 페인팅	얼굴 그림
페이저	무선 호출기
페이지 넘버	쪽 번호
페이지 뷰	쪽 보기, 방문자 수
페이징	무선 호출
페이크	이미지 합성 기술, 가짜 영상
페이퍼 컴퍼니	서류상 회사, 유령 회사
페인트 모션	속임 동작
페인트 존	3초 제한 구역
페치카	벽난로
펜네임	필명
펜더	멜빵
펜스	방어, 수비
펜트하우스	하늘채
펠로십	연구 지원금
펫 시터	반려동물 돌봄이
펫 푸드	애완동물 먹이, 반려동물 먹이
포럼	토론회, 대중 토론회, 공개 토론회
포레스트	숲
포맷	양식, 서식, 형식
포멀 드레스	야회복
포멀 웨어	정장
포메이션	정보, 안내
포스트	① 이후, 다음 ② 직위, 부서
포스팅	올리기, 글 올리기
포워더	화물 운송 주선인
포커스	배경 흐리기
포커스 마켓	주요 시장
포커페이스	무표정
포켓 가이드북	휴대용 안내서
포켓치프	주머니 손수건
포크리프트	지게차
포터블	휴대용
포토 데이	사진 홍보
포토저널리스트	사진작가
포트 홀	노면 홈, 바닥 홈, 바닥 패임, 도로 파임
포트폴리오	실적 자료집, 운용 자산 구성, 유가 증권 일람표, 자산 선택, 분산 투자
포퓰리스트	대중주의자, 대중 영합주의자
포퓰리즘	대중주의, 대중 영합주의
폰트	글꼴, 글자체
폴더블 폰	접이식 전화, 접이식 스마트폰
폴딩 도어	접이문
폴리슈머	정책 필요 계층, 복지 소외층
폴리스 라인	통제선
폴리시 믹스	정책 조합
폴리페서	정치 철새 교수
표준 프로세스	표준 과정, 표준 절차
푸드 뱅크	먹거리 나눔터
푸드 스타일리스트	요리 예술사
푸드 스탬프	식품권
푸드 테크	식품 기술
푸드 트립	음식 여행
푸드 플랜	먹거리 순환 종합 계획
푸시 맨	탑승 도움이, 탑승 도우미
푸시 버튼	누름 단추
풀 라인업	전체 구성
풀 빌라	수영장 빌라, 전용 수영장 빌라
풀 스크린	전화면, 전체 화면
풀 스토리	내력, 온내력, 전모, 전체 이야기
풀 시드	전 경기 출전권
풀 시스템	공동 취재
풀 애니메이션	순수 만화 영화
품질 관리 서클	품질 관리반
풋 백 옵션	사후 손실 보전
풋 액션	발 동작
풋워크	발 움직임, 발놀림
퓨처리즘	미래파
프라이	실적 급등, 실적발 주가 상승, 호실적 주가 상승, 깜짝 실적
프라이드	긍지, 자부심
프라이드 에그	달걀 부침, 계란 부침
프라이빗 뱅킹	맞춤 은행
프라이빗 브랜드	자체 상표
프라임 레이트	우대 금리
프라임 시간대	황금 시간대, 주 시청 시간대
프라임 타임	황금 시간
프락치	첩자, 끄나풀
프런티어	개척자
프레스	① 언론, 기자 ② 압박
프레스 디펜스	밀착 방어
프레스 콜	언론 시연회
프레스 투어	기자단 현장 방문
프레싱	전면 강압 수비, 전원 공격 전원 수비
프레임	그림틀
프레임워크	틀, 체계, 체제
프레젠터	발표자
프레젠테이션	발표, 시청각 설명, 시청각 설명회
프레젠트	선물
프레콘서트	사전 공연, 사전 연주회
프로갬블러	도박사, 전문 도박사, 직업 도박사
프로덕션	대량 생산
프로덕트 캐리어	정유 운반선
프로모터	행사 기획자, 행사 기획사
프로세서	응용 프로그램 처리 장치
프로세스	업무 자동화
프로세싱	처리
프로슈머	참여형 소비자
프로텍터	보호대, 보호구
프로토콜	통신 규약
프로토타입	시제품, 원형
프로파간다	선전, 선동
프로파일러	범죄 분석가
프로파일링	범죄 분석
프롤로그	첫 마당, 여는 말, 머리말
프리 로드	기본 탑재
프리 배팅	타격 연습
프리 서버	불법 서버
프리 스로	자유투
프리 존	규제 완화 지역, 규제 대폭 완화 지역, 규제 자유 구역, 규제 청정 지역, 무규제 지역
프리 포트	자유항
프리뷰	시사회, 미리 보기
프리퀄	전사편
프린징	장식술
플라모델	조립 모형, 조립 장난감
플라세보 효과	속임약 효과, 위약 효과
플라스틱 어택	과대 포장 거부 운동, 일회용품 줄이기
플라워 숍	꽃집
플라잉	매달기
플라잉 시스템	매달기 방식
플라잉 카	비행차, 항공 택시, 하늘을 나는 자동차
플라자	광장, 상가
플래그	깃대, 깃발
플래그십	대표 상품, 주력 상품
플래그십 마케팅	대표 상품 마케팅
플래그십 스토어	체험 판매장
플래너	생활 설계사, 보험 모집인
플래드	체크무늬, 바둑판무늬
플래시 몹	번개 공연, 번개 춤사위
플랜테리어	식물 인테리어
플랜트	설비, 시설
플랜트 수출	설비 수출
플랩북	날개책
플랫 슈즈	납작구두
플랫폼	다중 운영 체제
플랫폼 노동	온라인 매개 노동
플랫폼 노동자	온라인 매개 노동자, 온라인 기반 노동자, 온라인 특수 고용 노동자
플러그인	기능 확장 프로그램, 기능 향상 프로그램
플레이 그라운드	운동장
플레이 메이커	주도 선수
플레이팅	담음새
플렉시블	휘는, 유연한
플로깅	쓰담 달리기
플로리스트	화초 전문가
플로어	거래장, 매매장
플로팅 광고	떠돌이 광고
플롯	구성
플리 마켓	벼룩시장
플리 바기닝	자백 감형제, 자백 감형 제도
피싱	문자 금융 사기
피엘 상품	자체 기획 상품
피크	임금 정점제
피크 기간	집중 기간, 절정 기간
피크 타임	한창, 한창때, 절정, 절정기
피킹	가려내기
피팅 룸	탈의실
픽셀	그림낱, 화소
픽션	실화
픽처	큰 그림
픽토그램	그림 문자
핀셋	표적
핀치	위기, 위기 상황
핀테크	국제 금융 기술
핀트	초점
필드	중간 지역
필로티	기둥 방식, 지주 방식
필로티 방식	기둥 방식, 지주 방식
필리버스터	합법적 의사 진행 저지, 무제한 토론
필모그래피	영화 목록, 작품 목록
핑거 페인팅	손가락 그림
핑거 푸드	맨손 음식
하드 트레이닝	맹훈련, 강훈련
하드보일드	냉혹 기법
하우스 웨딩	정원 결혼식
하우스 푸어	내 집 빈곤층
하우스키퍼	객실 담당원
하우스키핑	정리 작업
하우징	겉 상자, 외함
하우징 페어	주택 박람회, 주택 산업 박람회
하이레벨	고급 수준
하이브리드	혼합형, 복합형
하이브리드 카	복합동력차
하이웨이	고속도로
하이킹	소풍, 도보 여행
하이테크	첨단 기술
하이틴	청소년, 십대
하이패션	고급풍, 고급 패션
하이픈	붙임표
핫 머니	단기 투기성 자금, 투기성 단기 자금
핫 스폿	집중 지역, 인기 명소, 고위험 지역
핫 토픽	관심 주제, 인기 화제
핫라인	직통 회선, 직통 전화, 비상 직통 전화
해시태그	핵심어 표시
해커톤	끝장 토론
해피 콜	감사 전화, 확인 전화, 안내 전화
핸드 드립	내림 커피
핸드 브레이크	수동 멈춤 장치, 손 제동 장치
핸드 블렌더	막대형 믹서기, 손방아, 전기 손방아, 맷돌, 전기 맷돌
핸드 시그널	수신호
핸드 프린팅	기념 손찍기
핸드레일	안전 손잡이
행 태그	꼬리표
허들	난관, 장애
허브 공항	중심축 공항
허브 사이트	중심 사이트
허브 항	중심축 항만
헤게모니	주도권
헤드 랜턴	이마 등, 이마 부착형 전등
헤드 헌팅	인력 중개
헤드헌터	취업 관리자, 인재 중개인
헤로인	주인공, 여주인공
헤비 업로더	대량 게재자
헤비 유저	대량 사용자, 다량 사용자, 과다 사용자
헤이트 스피치	혐오 발언, 증오 표현, 혐오 표현
헬프 데스크	도움 창구
혁신 밸리	지능형 농장 혁신 단지
혁신 파크	대학 내 도시첨단산단
호스피스	임종 간호
호이스트	이동용 장치, 승강 장치, 구조 인양기
홀더	컵걸이
홀로그래피	입체 영상
홀로그램	3차원 입체 사진
홈 시어터	안방 극장
홈 헬퍼	가사 도우미, 가정 도우미
홈리스	노숙인, 부랑인
홈베이킹	손수 굽기
홈스쿨링	재택 교육
홈커밍데이	모교 방문일
화이트 리스트	우호 대상, 백색 국가, 수출 절차 우대국, 수출 심사 우대국
화이트 바이오	식물 자원 활용 산업 기술
환 리스크	환차 손실
휘슬	호루라기, 호각
휘핑	거품 크림
휴머노이드	인간형 로봇
휴머노이드 로봇	인간형 로봇
휴머니즘	인본주의
휴머니티	인성, 인간성, 인간애
휴테크	여가 활용 기술, 여가 활용 방법
히든 챔피언	강소 기업, 우량 기업
히트 메이커	인기 제조기, 성공 제조기
AI	① 인공 지능 ② 조류 독감, 조류 인플루엔자
APEC	아시아태평양경제협력체
AR	증강 현실
ASF	아프리카돼지열병
BRT	간선 급행 버스
CES	국제전자제품박람회
EEZ	배타적 경제 수역
EU	유럽 연합
FDA	미국 식품의약국
FTA	유럽자유무역연합
G20	주요 20개국
GDP	국내 총생산
HACCP	식품안전관리 인증기준, 해썹
HUG	주택도시보증공사
ICBM	대륙간 탄도 미사일
ICT	정보 통신 기술
ILO	국제노동기구
IOC	국제올림픽위원회
IP	지식 재산, 지식 재산권
IPTV	인터넷  티브이, 인터넷 텔레비전
IoT	사물 인터넷
KDI	한국개발연구원
LCC	저비용 항공사
LCD	액정 표시 장치, 엘시디
LNG	액화 천연가스
M&A	기업 인수·합병, 인수·합병
MOU	업무 협정, 업무 협약, 양해 각서
NCS	국가직무능력표준
NLL	북방 한계선
OECD	경제협력개발기구, 경협기구
OLED	유기 발광 다이오드, 올레드
P2P	개인 간, 개인 공유
R&D	특허 연계 연구 개발, 지식 재산 기반 연구 개발
RCEP	역내포괄적경제동반자협정
SOC	사회 기반 시설, 사회 간접 자본
SW	소프트웨어
TF	국제자금세탁방지기구
TP	테크노파크
UAE	아랍에미리트
VR	가상 현실
WHO	세계보건기구
WTO	세계무역기구
