인도어(로마자),한글
A.,A.
Aamir,아미르
Abdali,압달리
Abdul,압둘
Abdullah,압둘라
Abhijit,아비지트
Abhishek,아비셰크
Acharya,아차르야
Achuthanandan,아츄타난단
Adiga,아디가
Aditya,아디타
Advani,아드바니
Aggarwal,아그라왈
Agrawal,아그라왈
Ahluwalia,아흘루왈리아
Ahluwalia,알루왈리아
Ahmad,아흐마드
Ahmed,아흐메드
Ahuja,아후자
Ajay,아자이
Ajit,아지트
Ajmal,아즈말
Ajoy,아자이
Akbar,아크바르
Akhilesh,아킬레시
Alagarswami,알라가르스와미
Alam,알람
Alauddin,알라우딘
Ali,알리
Alka,알카
Alphonsa,알폰사
Amar,아마르
Amarinder,아마린다르
Amartya,아마르티야
Ambani,암바니
Ambedkar,암베드카르
Amita,아미타
Amitabh,아비타브
Amma,암마
Ammal,암말
Amrit,아므리트
Amrit,암리트
Amrita,암리타
Analjit,아날지트
Anand,아난드
Anangpal,아낭그팔
Anantkumar,아난트쿠마르
Anbumani,안부마니
Angami,앙가미
Anil,아닐
Anjali,안잘리
Ankit,안키트
Annadurai,안나두라이
Antony,안토니
Anwar,안와르
Apang,아팡
Apoorvi,아뿌르위/아뿌르비
Aravind,아르빈드
Arjun,아르준
Arnoraja,아르노라즈
Arora,아로라
Arun,아룬
Arundhati,아룬다티
Arvind,아르빈드
Asaduddin,아스둣딘
Ashish,아시시
Ashoka,아쇼카
Ashutosh,아슈토시
Assadullah,갈립
Atal,아탈
Atul,아툴
Avaidyanath,아배댜나트
Avul,아불
Awangbow,아왕보우
Ayyar,아이야르
B.,B.
Babu,바부
Babulal,바부랄
Bachchan,밧찬
Badal,바달
Badruddin,바드룻딘
Bahadur,바하두르
Bajpayee,바즈빠이
Bakin,바킨
Bal,발
Bandodkar,반도드카르
Banerjee,바네르지
Bankim,반킴찬드라
Bansal,반살
Bansuri,반수리
Barnala,바르날라
Basanti,바산티
Basu,바수
Bauri,바우리
Beant,베안트
Bedi,베디
Behring,베흐링
Bengal,방갈/벵갈/벵골
Beniwal,베니왈
Bhabani,바와니
Bhadra,바드라
Bhagat,바가트
Bhairon,베롱
Bharati,바르티
Bharti,바르티
Bhaskar,바스카르
Bhati,바티
Bhattacharjee,밧타차르야
Bhattacharya,밧타차르야
Bhavish,바비시
Bhim,빔
Bhimrao,빔라오
Bhindranwale,빈드란왈레
Bhujbal,부즈발
Bhushan,부샨
Bibhuti,비부티
Bihari,비하리
Biju,비주
Bikram,비크람
Bindeshwari,빈데슈와리
Binny,비니
Binod,비노드
Bipin,비핀
Bir,비르
Birsa,비르사
Bishnu,비슈누
Bisht,바시트
Bonnerjee,바나르지
Bora,보라
Bose,보스
Brahmin,브라흐만/브라흐마나
Buddha,붓다
Buddhadeb,붓다데브
Bwiswmuthiary,브위스무티아리
Byadha,브야다
C.,C.
Carim,카림
Chaddah,차다
Chagla,차글라
Chakrapani,차크라파니
Chamling,참링그
Champaklal,참파크랄
Chand,찬드
Chandana,찬다나
Chandela,짠델리/짠델라
Chandra,차테르지
Chandra,찬드라
Chandra,찬드라
Chandrababu,찬드라바부
Chandrasekaran,찬드라세카란
Chandrashekhar,찬드라셰카르
Chandrika,찬드리카
Channi,찬니
Charan,차란
Charanjit,차란지트
Chatterjee,차타르지
Chatterjee,차테르지
Chaturanan,차투란
Chaudhary,차우다리
Chaudhry,차우드리
Chaudhuri,차우드리
Chauhan,차우한
Chauhan,초한
Chautala,차우탈라
Chautala,초탈라
Chavan,차반
Chennai,쩬나이/첸나이
Chennamma,첸남마
Chennikkara,첸니카라
Chetan,체탄
Chhagan,차간
Chhaya,차야
Chimanlal,치만랄
Chingwang,친그왕
Chirag,치라그
Chiruthaigal,치루타이갈
Choksey,초크세이
Choksi,초크시
Chouhan ,초우한
Chunder,찬드라
Conjeevaram,칸지바람
Conrad,콘라드
Cyrus,사이러스
D.,D.
Dabas,다바스
Dadabhai,다다바이
Dakshin,닥신
Dalmia,달미야
Daman,다만
Damodardas,다모다르다스
Dani,다니
Danish,다니시
Dara,다라
Das,다스
Dasia,다시아
Dayal,다얄
Dayal,다얄
Dayanand,다야난드
Debbarma,뎁바르마
Debbarma,뎁바르마
Debendranath,데벤드라나트
Deendayal,딘다얄
Deepa,디파
Deepinder,딥파인더
Delhi,딜리/델리
Desai,데사이
Dev,데브
deva,데바
Deva,데바
Devi,데비
Devisingh,데비싱
Devji,데바지
Dhami,다미
Dhanya,다냐
Dharma,다르마
Dharmendra,다르멘드라
Dharsi,다르시
Dhasal,다살
Dhirubhai,디루바이
Dhumal,두말
Dhupia,두피아
Digvijaya,디그비자야
Dikshit,딕시트
Dilip,딜립
Dimple,딤팔
Dinkar,딘카르
Dipak,디팍
Dipti,딥티
Diwan,디완
Donkupar,돈쿠파르
Draupadi,드라우파디
Dubey,두베
Duja,두자
Durga,두르가
Durväsä,두르와사
Dushyant,두쉬얀트
E.,E.
Edappadi,에다파디
Emmanuel,엠마뉴엘
Evansius,에반시우스
Faizal,파이잘
Fakhruddin,파크룻딘
Farooq,파루크
Fateh,파테흐
Feroze,피로즈
Francis,프란시스
G.,G.
Gandh,간디
Gandhi,간디
Gaur,가우르
Gauri,가우리
Gautama,고타마
Gayatri,가야트리
Gegong,게공그
Gehlot,게흘로뜨
Ghanashyam,가나샴
Ghosh,고시
Ghulam,굴람
Gil,길
Gill,길
Giri,기리
Gita,기타
Gokhale,고칼레
Gopal,고빨
Gopala,고팔
Gopalan,고팔란
Gopinath,고피나트
Goyal,고얄
Gujraben,구즈라벤
Gujral,구즈랄
Gupta,굽타
Guri,고리
Gurmukh,구르무크
Gurnam,구르남
Gursharan,구르샤란
Guru,구루
H.,H.
Hagrama,하그라마
Hanuman,하누만
Haq,하크
Hardev,하르데브
Hari,하리
Harish,하리시
Harkishan,하르키샨
Harkrishan,하르크리샨
Harpal,하르팔
Harsh,하르시
Hasan,하산
Hegde,헤그데
Hemant,헤만트
Hemantha,헤만타
Hemelata,헤멜라트
Himalaya,히말라야
Hiraben,히라벤
Hopingstone,호핑스톤
Hrithik,리틱
Hussain,후세인
Hyder,하이데르
Inder,인데르
Indira,인디라
Indra,인드라
Indrajit,인드라지트
Iqbal,이크발
Irrfan,이르판
Isher,이셔
Ismail,이스마일
J.,J.
Jaffrey,재프리
Jaganand,자가난드
Jaganmohan,라간모한
Jai,자이람
Jainulabdeen,제눌압딘
Jaishankar,자이샹카르
Jaitley,제틀리
Jamsetji,잠세트지
Janaki,자나키
Janaki,잔키
Janeshwar,자네쉬와르
Jarnail,자르넬
Jashodaben,자쇼다벤
Jaswant,자스완트
Javadekar,자바데까르
Jawaharlal,자와할랄
Jayadevan,자이데반
Jayakumar,자야쿠마르
Jayalalithaa,자이랄리타
Jayaprakash,자야프라카시
Jayaram,자이람
Jha,자
Jinnah,진나
Jitan,지탄
Jivraj,지브라즈
Jogi,조기
Joshi,조시
Judge,저지
Jun,준
Junior,주니어
Jyoti,죠티
Jyotiraditya,죠티라디탸
K.,K.
Kabir,카비르
Kaka,카카
Kalam,칼람
Kalelkar,칼렐카르
Kalikho,칼리코
Kalinga-raja,칼링가
Kalvakuntla,칼와쿤탈라
Kalyanikutty,칼야니쿠티
Kamada,캄다
Kamal,카말
Kamala,카믈라
Kamaraj,카마라즈
Kanimozhi,카니모지
Kansai,칸사이
Kanshi,칸시
Kant,칸트
Kapil,카필
Kapilendra,카필렌드라
Karat,카라트
Karingozhackal,카린고자칼
Karnataka,까르나따까
Karunakaran,카루나카란
Karunanidhi,카루나니디
Katchi,캇치
Kaur,카우르
Kaushal,카우샬
Kaushik,카우시크
Kaviraj,카비라즈
Kavishar,카비샤르
Kehar,케하르
Kejriwal,케즈리왈
Kek,케크
Keshav,케샤브
Keshubhai,케슈바이
Khan,칸
Khandekar,칸데카르
Khattar,캇타르
Kher,케르
Khoda,코다
Khunggur,쿤구르
Khurshed,쿠르쉬드
Khurshid,쿠르시드
Khushwant,쿠슈완트
Kinkar,킨카르
Kiran,키란
Kirron,키란
Kishore,키쇼르
Kocheril,코체릴
Kokalla,코칼라
Kokilaben,고킬라벤
Kolkata,꼴까따/콜카타
Konkona,콩코나
Konyak,코냐크
Kotak,코탁
Kothari,코타리
Kovind,코빈드
Kovoor,코부르
Krishan,크리샨
Krishna,마투르
Krishna,크리슈나
Krishna,크리슈나
Krishnamachari,끄리슈나마차리
Krishnamurthy,크리슈나무르티
Krishnaswamy,크리슈나스와미
Krishnaveni,크리슈나베니
Kshatriya,끄샤뜨리야
Kshiti,크시티
Kuldeep,쿨딥
Kumar,쿠마르
Kumaraswamy,쿠마라스와미
Kumari,쿠마리
Kundan,쿤단
Kunjumon,쿤주몬
Kunwar,쿤와르
Kushwaha,쿠쉬와하
Kyoko,쿄코
Lachhman,라취만
Lajpat,라즈파트
Lakhan,라칸
Lakshman,락쉬만
Lakshmi,락슈미
Lal,랄
Lala,랄라
Lalbhai,랄바이
Laldenga,랄뎅가
Lalduhawma,랄두하우마
Lalhmangaiha,랄망가이
Lalit,랄리트
Lalita,랄리타
Laloo,랄루
Lalu,랄루
Lalubhai,랄루바이
Latika,라티카
Laxman,락슈만
Laxmi,락스미
Leena,리나
Lodi,로디
Lokesh,로케시
Lyngdoh,링도
M.,M.
Madan,마단
Madhur,마두르
Mahajan,마하잔
Mahajan,마하잔
Mahalanobis,마할라노비스
Mahant,마한트
Mahanta,마한타
Mahasweta,마하스웨타
Mahatma,마하트마
Mahato,마하토
Mahavira,마하비라
Mahendrapala,마헨드라팔
Mahipala,마히팔
Mahmood,마흐무드
Mahto,마하토
Malati,말티
malla,말라
Mallaiah,말라이아
Mallika,말리카
Malviya,말비야
Mamata,마마타
Mandal,만달
Mani,마니
Manik,마니크
Manikya,마니캬
Manish,마니시
Manjhi,만지
Manju,만주
Manmohan,만모한
Mann,만
Manohar,마노하르
Manoj,마노즈
Manto,만토
Marandi,마란디
Maruthur,마루투르
Mawlong,마우롱
Mayawati,마야와티
Mazumdar-Shaw,마줌다르
Mehbooba,마흐부바
Mehrunissa,메흐루니사
Mehta,메타
Melakkath,멜락카트
Menon,메논
Mira,미라
Mirza,미르자
Mishra,미슈라
Mistry,미스트리
Mittal,미탈
Modi,모디
Mohammad,모함마드
Mohammadali,모하마달리
Mohammed,모함메드
Mohan,모한
Mohanbhai,모한바이
Mohanty,모한티
Mohilary,모힐라리
Montek,몬테크
Moopanar,무파나르
Morarji,모라르지
Mosahary,모사하리
Mufti,무프티
Muhammad,무함마드
Mukesh,무케쉬
Mukherjee,무케르지
Mulayam,물라얌
Mulchanddas,물찬다스
Mulk,물크라즈
Munda,문다
Muraleedharan,무랄리다란
Murmu,무르무
Murthy,무르티
Muthuvel,무투벨
Muttathupadathu,무타투파다투
Muttylal,무티랄
N.,N.
Nadella,나델라
Naidu,나이두
Naik,나이크
Nair,나이르
Namboordiripad,남부르다리파드
Namdeo,남데오
Namita,나미타
Nanak,나나크
Nandamuri,난드무리
Nandita,난디타
Naoroji,나오로지
Nara,나라
Nara,나라
Narashingha,나라싱하
Narasimha,나라심하
Narayan,나라얀
Narayana,나라야나
Narayanan,나라야난
Narayen,나라옌
Narendra,나렌드라
Nasimuddin,나시뭇딘
Natarajan,나타라잔
Nath,나트
Naveen,나빈
Nawab,나와브
Nawaz,나와즈
Nayanar,나야나르
Nazir,나지르
Neelam,닐람
Neeraj,니라즈
Neetu,니투
Neha,네하
Nehru,네루
Neiphiu,네피유
Newmai,네우마이
Nijalingappa,니잘링갑파
Nikesh,니케쉬
Nina,니나
Nirmal,니르말
Nirmala,니르말라
Nishant,니샨트
Nishikanta,니시칸트
Nitish,니티쉬
Nivedita,니베디타
Om,옴
Ottakarathevar,오타카라테바르
Owaisi,오와이시
P.,P.
Pada,파드
Padmaja,파드마자
Padmavathi,파트마바티
Padvamati,파드바마티
Pakir,파키르
Palaniswami,파라니스와미
Pamulaparthi,파물라파르티
Panchali,판찰리
Pandit,판디트
Pankaj,판카즈
Panneerselvam,판니르셀밤
Parag,파라그
Paramardi,파라마르디
Parkash,파르카쉬
Parmeshwari,파르메슈와리
Parrikar,파르리카르
Parvathi,파르바티
Parvin,파빈
Paswan,파스완
Patel,파텔
Pathak,파타크
Patil,파틸
Patnaik,파트나이크
Pawan,파완
Pawar,파와르
Periyar,페리야르
Pertin,페르틴
Phizo,피조
Phoolan,풀란
Pichai,피차이
Pinarayi,피나라이
Poonawalla,푸나왈라
Prabhu,프라부
Prabodhankar,프라보단카르
Pradesh,쁘라데시
Pradhan,프라단
Praful,프라풀
Prafulla,프라풀라
Prakash,쁘라까슈/프라카쉬
Pramod,프라모드
Pranab,프라나브
Pranav,프라나브
Prasad,프라사드
Pratap,프라탑
Pratibha,프라티바
Preet,프리트
Prem,프렘
Prema,프레마
Preneet,프리니트
Prithvi,프리트비
Prithviraj,프리트비라즈
Priyanka,프리얀카
Puchalapalli,풋찰라팔리
Pul,풀
Puran,푸란
Pushkar,푸슈카르
Putul,푸툴
Qasim,카심
R.,R.
Rabindranath,라빈드라나트
Rabri,라브리
Radha,라다
Radhakrishnan,라다크리슈난
Radhika,라디카
Raghunath,라구나트
Rahul,라훌
Rai,라이
Raj,라즈
Raja,라자
Rajarshi,라자르시
Rajasekhara,라자셰카라
Rajendra,라젠드라
Rajguru,라즈구루
Rajiv,라지브
Rajkumar,라지쿠마르
Rajlakshmi,라즈락슈미
Rajnath,라즈나트
Rajvanshi,라즈반시
Rakul,라쿨
Ram,람
Rama,라마
Ramachandran,라마찬드란
Ramadorai,라마도래이
Ramadoss,라마도스
Raman,라만
Ramchandra,람찬드라
Ramdhari,람다리
Ramdulari,람둘라리
Ramji,람지
Ramkrishna,람크리슌
Rampal,람팔
Ranadive,란디베
Rangaswamy,강가스와미
Rani,라니
Ranjan,란잔
Ranjit,란지트
Ransingh,란싱
Rao,라오
Ratan,라탄
Rathore,라토르
Ratna,라트나
Ravi,라비
Rawat,라와뜨
Ray,라이
Reddy,레디
Regunatha,레구나타
Riba,리바
Rio,리오
Ritesh,리테시
Riyas,리야스
Rizvi,리즈비
Rohini,로히니
Roshan,로샨
Roy,로이
Rudra,루드라
Ruikar,루이카르
Rushdie,루슈디
S.,S.
Saadat,사닷뜨
Sachin,사친
Sadhna,사드나
Sahgal,사흐갈
Sahib,사히브
Sailo,셀로
Sakharam,사카람
Salahuddin,살라웃딘
Salgaocar,살고카르
Salman,루시디
Salman,살만
Sandeep,산딥
Sandhya,산댜
Sangma,상그마
Sanjay,산제이
Sanjibhai,산지
Sanjiva,산지바
Sansuma,산수마
Sant,산트
Santosh,산토쉬
Saran,사란
Sardesai,사르
Sardul,사르둘
Sarkar,사르카르
Sarvepalli,사르베팔리
Sasikala,사시카라
Satish,사티쉬
Satwant,사트완트
Satya,사티아
Satyabhama,사탸밤
Satyendra,사트엔트라
Sawant,사반뜨/사완뜨
Sayeed,사이드
Scindia,신디야
Seal,실
Sen,센
Seth,세트
Shah,샤
Shahrukh,샤룩
Shahu,샤후
Shams-ud-Din,샴스
Shanghvi,샹비
Shankar,샹카르
Shankarrao,샹카르라오
Shantanu,샨타누
Shanti,샨티
Sharad,샤라드
Sharada,샤라다
Sharma,샤르마
Sharmistha,샤르미슈타
Shastri,샤스트리
Sheel,쉬르
Sheikh,셰이크
Sheila,셰일라
Sheila,실라
Shekhar,셰카르
Shekhawat,셰카와트
Sher,셰르
Sherawat,셰라와트
Shetty,셰티
Shibu,시부
Shikoh,시코흐
Shilpa,실파
Shiney,시니
Shiva,시브/시바
Shivnath,시브나트
Shivpal,시브팔
Shivraj,시브라즈
Shkhawat,슈카와트
Shri,슈리
Shrimati,슈리마티
Shrivastav,슈리바스타브
Shrivastava,슈리바스타바
Shriya,슈리야
Shukla,슈클라
Shyam,스얌
Shyama,샤마프라사드
Sibal,시발
Siddaramaiah,싯다르메야
Siddiqui,싯디키
Sikandar,시칸다르
Sikha,시카
Simharaja,싱하라자
Simranjit,심란지트
Singh,싱
Singha,싱하
Sinha,신하
Sisodia,시소디야
Sita,시타
Sitaram,시타람
Sitharaman,시타라만
Sivakamu,시바카무
Sobti,소브티
Somanahalli,소마나할리
Someshvara,소메슈와르
Somnath,솜나트
Sonia,소니아
Sood,수드
Soren,소렌
Soumya,소미야
Spivak,스피박
Subhas,수바쉬
Subrahmanyam,수브라마니얌
Subramanian,서브라마니안
Sudesh,수데쉬
Sudhakar,수다카르
Sudhakarrao,수다르카르라오
Sukaphaa,수카파
Sukhbir,수크빌
Sukhdev,수크데브
Sule,수레
Sulochana,술로차나
Sultan,술탄
Sunaina,수네나
Sundar,순다르
Sundarayya,순다라이야
Sunil,수닐
Supriya,수프리야
Surajpal,수라즈팔
Suravaram,수르바람
Surdas,수르다스
Surinder,수린다르
Surjeet,수르지트
Surjit,수르지트
Suryakant,수르야칸트
Susenghphaa,수셍그파
Sushil,수실
Sushma,수슈마
Sushmita,수슈미타
Susmita,수스미타
Sutanphaa,수탄파
Suvra,수브라
Suzanna,수잔나
Swami,스와미
Swaminathan,스와미나탄
Swara,스와라
Swaraj,스와라즈
Swaran,스와란
Swarup,스와루프
Syed,사이드
T.,T.
Tagore,타고르
Talpade,탈파드
Tamang,타망
Tannishtha,타니슈타
Taraka,타라크
Tariq,타리크
Tata,타타
Tejashwi,테즈슈위
tendulkar,텐둘카르
Thackeray,타케레이
Thakur,타쿠르
Thawar Chand,타바르짠드/타와르짠드
Thayamma,타얌마
Thenphunga,텐푼가
Thomas,토마스
Tirath,티라트
Tomo,토모
Tridib,트리딥
Tripathi,트리파티
Trivendra,트리벤드라
Uday,우데이
Uddhav,우다브
Ul,울
Uma,우마샹카르
Upadhyaya,우파댜야
Upendra,우펜드라
Upinder,우핀더
Usha,우샤
Uttar,웃따르
V.,V.
Vajpayee,바즈파이
Vakil,바킬
Vallabhacharya,발라바차르야
Varahagiri,바라하기리
Vasuki,바수키
Venkata,벤카타
Venkataraman,벤카타라만
Venugopal,베누고팔
Verma,베르마
Viduthalai,비두탈라이
Vigraharaja,비그라흐라즈
Vijai,비자이
Vijay,비제이
Vijaya,비자야
Vijayakanth,비자야칸트
Vijayan,비자얀
Vijayaraj,비자야라즈
Vikas,비카스
Vikram,비크람
Vilas,파스완
Vinod,비노드
Virakta,비락트
Virbhadra,비르바드라
Vishnu,비슈누
Vishwanath,비슈와나트
Vivekanandan,비베카난단
Wadiyar,와디야르
Womesh,우메시
Y.,Y.
Yadav,야다브
Yajee,야지
Yar,야르
Yashwant,야쉬완뜨
Yashwantrao,야슈완트라오
Yechury,예추리
Yediyurappa,예디유랍파
Yunus,유누스
Zakir,자키르
Zapu,자푸
Zeliang,젤리양
Zia,지아
Zoramthanga,조라마탕가
Zubin,주빈
Ⅰ,1세
Ⅱ,2세
Ⅲ,3세
Haradanahalli,하라다나할리
Doddegowda,도데고다
Deve,데베
Gowda,고다
Mysore,마이소르
Bhubaneswar,부바네스와르
Guwahati,구와하띠
Lucknow,럭나우
Mysore,마이소르
Patiala,빠띠알라
Pune,뿌네
Solan,솔란
